STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,ACMH,ACMH_ATTRIBUTES,ACSH,ACSH_ATTRIBUTES,AWND,AWND_ATTRIBUTES,FMTM,FMTM_ATTRIBUTES,FRGT,FRGT_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDF1,WDF1_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WDFG,WDFG_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WSF1,WSF1_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WSFG,WSFG_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT07,WT07_ATTRIBUTES,WT08,WT08_ATTRIBUTES,WT09,WT09_ATTRIBUTES,WT10,WT10_ATTRIBUTES,WT11,WT11_ATTRIBUTES,WT13,WT13_ATTRIBUTES,WT14,WT14_ATTRIBUTES,WT15,WT15_ATTRIBUTES,WT16,WT16_ATTRIBUTES,WT17,WT17_ATTRIBUTES,WT18,WT18_ATTRIBUTES,WT19,WT19_ATTRIBUTES,WT21,WT21_ATTRIBUTES,WT22,WT22_ATTRIBUTES,WV01,WV01_ATTRIBUTES,WV03,WV03_ATTRIBUTES,WV20,WV20_ATTRIBUTES
USW00014765,1/11/2005,41.72252,-71.43248,15.4,"PROVIDENCE, RI US",51,",,0,2400",53,",,0,",0,"T,,0,",33,",,0",-11,",,0",,,,,24,",,X",2111,",,X",,,923,",,W",,,11,",,W",,,,,70,",,X",360,",,X",,,0,",,0",,,45,",,X",63,",,X",,,1,",,0",,,,,,,,,,,,,,,,,,,,,1,",,X",,,,,,,,,1,",,0",,,,,,,,,,,,
USW00014765,1/12/2005,41.72252,-71.43248,15.4,"PROVIDENCE, RI US",91,",,0,2400",43,",,0,",102,",,0,",28,",,0",-17,",,0",,,,,34,",,X",1829,",,X",,,1317,",,W",,,6,",,W",,,,,20,",,X",20,",,X",,,127,",,0",,,45,",,X",63,",,X",,,1,",,0",,,,,,,,,1,",,0",,,,,,,,,,,1,",,X",1,",,X",1,",,X",1,",,0",1,",,X",1,",,0",,,,,,,,,,,,
USW00014765,1/13/2005,41.72252,-71.43248,15.4,"PROVIDENCE, RI US",3,",,0,2400",0,",,0,",25,",,0,",150,",,0",6,",,0",,,,,29,",,X",2322,",,X",,,2322,",,W",,,78,",,W",,,,,210,",,X",220,",,X",,,0,",,0",,,134,",,X",148,",,X",,,1,",,0",1,",,X",,,,,,,,,,,,,,,,,,,1,",,X",1,",,X",,,1,",,0",,,,,,,,,,,,,,,,
USW00014765,1/14/2005,41.72252,-71.43248,15.4,"PROVIDENCE, RI US",142,",,0,2400",0,"T,,0,",0,",,0,",167,",,0",6,",,0",,,,,80,",,X",652,",,X",,,651,",,W",,,89,",,W",,,,,210,",,X",210,",,X",,,0,",,0",,,179,",,X",228,",,X",,,1,",,0",,,,,1,",,0",,,,,,,,,,,,,,,1,",,X",1,",,X",,,1,",,0",,,,,,,,,,,,,,,,
USW00014765,1/15/2005,41.72252,-71.43248,15.4,"PROVIDENCE, RI US",0,",,0,2400",0,",,0,",0,",,0,",6,",,0",-39,",,0",,,,,30,",,X",316,",,X",,,316,",,W",,,-17,",,W",0,",,W",,,10,",,X",10,",,X",,,0,",,0",,,80,",,X",98,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,1/16/2005,41.72252,-71.43248,15.4,"PROVIDENCE, RI US",0,"T,,0,2400",3,",,0,",0,",,0,",-11,",,0",-50,",,0",,,,,60,",,X",2340,",,X",,,2350,",,W",,,-28,",,W",,,,,10,",,X",10,",,X",,,0,",,0",,,112,",,X",134,",,X",,,1,",,0",,,,,,,,,,,,,,,,,,,,,1,",,X",,,,,,,,,1,",,0",,,,,,,,,,,,
USW00014765,1/17/2005,41.72252,-71.43248,15.4,"PROVIDENCE, RI US",3,",,0,2400",5,",,0,",0,"T,,0,",-17,",,0",-94,",,0",,,,,62,",,X",206,",,X",,,205,",,W",,,-56,",,W",,,,,10,",,X",20,",,X",,,0,",,0",,,112,",,X",139,",,X",,,1,",,0",,,,,,,,,,,,,,,1,",,0",,,,,1,",,X",,,,,,,,,1,",,0",,,,,,,,,,,,
USW00014765,1/18/2005,41.72252,-71.43248,15.4,"PROVIDENCE, RI US",0,",,0,2400",0,",,0,",0,"T,,0,",-94,",,0",-144,",,0",,,,,63,",,X",1019,",,X",,,1407,",,W",,,-117,",,W",,,,,320,",,X",330,",,X",,,0,",,0",,,103,",,X",130,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,1/19/2005,41.72252,-71.43248,15.4,"PROVIDENCE, RI US",15,",,0,2400",58,",,0,",0,",,0,",-17,",,0",-161,",,0",,,,,15,",,X",2305,",,X",,,2305,",,W",,,-89,",,W",,,,,270,",,X",270,",,X",,,0,",,0",,,45,",,X",54,",,X",,,1,",,0",1,",,X",,,,,,,,,,,,,,,,,,,1,",,X",,,,,,,,,1,",,0",,,,,1,",,X",,,,,,
USW00014765,1/20/2005,41.72252,-71.43248,15.4,"PROVIDENCE, RI US",3,",,0,2400",5,",,0,",51,",,0,",-17,",,0",-78,",,0",,,,,42,",,X",1331,",,X",,,1330,",,W",,,-44,",,W",,,,,310,",,X",310,",,X",,,0,",,0",,,94,",,X",116,",,X",,,1,",,0",,,,,,,,,,,,,,,,,,,,,1,",,X",,,,,,,,,1,",,0",,,,,,,,,,,,
USW00014765,1/21/2005,41.72252,-71.43248,15.4,"PROVIDENCE, RI US",0,",,0,2400",0,",,0,",25,",,0,",-78,",,0",-161,",,0",,,,,54,",,X",1147,",,X",,,1125,",,W",,,-117,",,W",0,",,W",,,10,",,X",360,",,X",,,0,",,0",,,94,",,X",112,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,1/22/2005,41.72252,-71.43248,15.4,"PROVIDENCE, RI US",97,",,0,2400",178,",,0,",25,",,0,",-28,",,0",-189,",,0",,,,,39,",,X",2356,",,X",,,2356,",,W",,,-106,",,W",,,,,70,",,X",80,",,X",,,0,",,0",,,103,",,X",116,",,X",,,1,",,0",1,",,X",,,,,,,,,,,,,1,",,0",,,,,1,",,X",,,,,,,,,1,",,0",,,,,1,",,X",,,,,,
USW00014765,1/23/2005,41.72252,-71.43248,15.4,"PROVIDENCE, RI US",170,",,0,2400",417,",,0,",457,",,0,",-22,",,0",-150,",,0",,,,,120,",,X",747,",,X",,,722,",,W",,,-83,",,W",,,,,20,",,X",20,",,X",,,0,",,0",,,201,",,X",268,",,X",,,1,",,0",1,",,X",,,,,,,,,,,,,1,",,0",,,,,1,",,X",,,,,,,,,1,",,0",,,,,1,",,X",,,,,,
USW00014765,1/24/2005,41.72252,-71.43248,15.4,"PROVIDENCE, RI US",0,",,0,2400",0,",,0,",508,",,0,",-50,",,0",-156,",,0",,,,,51,",,X",325,",,X",,,322,",,W",,,-100,",,W",,,,,330,",,X",330,",,X",,,686,",,0",,,89,",,X",107,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,1/25/2005,41.72252,-71.43248,15.4,"PROVIDENCE, RI US",0,"T,,0,2400",0,"T,,0,",457,",,0,",-28,",,0",-94,",,0",,,,,39,",,X",1032,",,X",,,1031,",,W",,,-61,",,W",0,",,W",,,310,",,X",300,",,X",,,686,",,0",,,89,",,X",125,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,,,,,
USW00014765,1/26/2005,41.72252,-71.43248,15.4,"PROVIDENCE, RI US",43,",,0,2400",56,",,0,",432,",,0,",-17,",,0",-83,",,0",,,,,59,",,X",2355,",,X",,,2354,",,W",,,-50,",,W",,,,,360,",,X",360,",,X",,,737,",,0",,,116,",,X",156,",,X",,,1,",,0",1,",,X",,,,,,,,,,,,,1,",,0",,,,,1,",,X",,,,,,,,,1,",,0",,,,,1,",,X",,,,,,
USW00014765,1/27/2005,41.72252,-71.43248,15.4,"PROVIDENCE, RI US",0,"T,,0,2400",0,"T,,0,",432,",,0,",-78,",,0",-144,",,0",,,,,69,",,X",203,",,X",,,2354,",,W",,,-111,",,W",,,,,10,",,X",360,",,X",,,787,",,0",,,125,",,X",156,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,,,,,
USW00014765,1/28/2005,41.72252,-71.43248,15.4,"PROVIDENCE, RI US",0,",,0,2400",0,",,0,",432,",,0,",-56,",,0",-167,",,0",,,,,40,",,X",1309,",,X",,,1308,",,W",,,-111,",,W",,,,,20,",,X",20,",,X",,,787,",,0",,,98,",,X",107,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,1/29/2005,41.72252,-71.43248,15.4,"PROVIDENCE, RI US",0,",,0,2400",0,",,0,",406,",,0,",22,",,0",-167,",,0",,,,,19,",,X",1613,",,X",,,1611,",,W",,,-72,",,W",0,",,W",,,260,",,X",270,",,X",,,889,",,0",,,45,",,X",63,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,1/30/2005,41.72252,-71.43248,15.4,"PROVIDENCE, RI US",0,",,0,2400",0,",,0,",381,",,0,",39,",,0",-44,",,0",,,,,39,",,X",1434,",,X",,,1214,",,W",,,0,",,W",,,,,20,",,X",10,",,X",,,787,",,0",,,72,",,X",89,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,1/31/2005,41.72252,-71.43248,15.4,"PROVIDENCE, RI US",0,",,0,2400",0,",,0,",356,",,0,",-6,",,0",-89,",,0",,,,,51,",,X",932,",,X",,,932,",,W",,,-44,",,W",,,,,20,",,X",30,",,X",,,889,",,0",,,94,",,X",107,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,2/1/2005,41.72252,-71.43248,15.4,"PROVIDENCE, RI US",0,",,0,2400",0,",,0,",356,",,0,",22,",,0",-128,",,0",,,,,9,",,X",2225,",,X",,,1352,",,W",,,-50,",,W",,,,,290,",,X",110,",,X",,,940,",,0",,,27,",,X",31,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,2/2/2005,41.72252,-71.43248,15.4,"PROVIDENCE, RI US",0,",,0,2400",0,",,0,",330,",,0,",33,",,0",-117,",,0",,,,,36,",,X",1445,",,X",,,1456,",,W",,,-39,",,W",,,,,10,",,X",20,",,X",,,940,",,0",,,72,",,X",80,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,2/3/2005,41.72252,-71.43248,15.4,"PROVIDENCE, RI US",53,",,0,2400",0,"T,,0,",305,",,0,",22,",,0",-50,",,0",,,,,43,",,X",1304,",,X",,,2301,",,W",,,-11,",,W",,,,,20,",,X",10,",,X",,,864,",,0",,,67,",,X",76,",,X",,,1,",,0",,,,,,,,,,,,,,,,,,,,,1,",,X",1,",,X",,,1,",,0",,,1,",,0",,,,,,,,,,,,
USW00014765,2/4/2005,41.72252,-71.43248,15.4,"PROVIDENCE, RI US",8,",,0,2400",0,"T,,0,",229,",,0,",22,",,0",-6,",,0",,,,,59,",,X",1315,",,X",,,1300,",,W",,,11,",,W",,,,,30,",,X",20,",,X",,,838,",,0",,,103,",,X",130,",,X",,,1,",,0",,,,,,,,,,,,,,,,,,,,,1,",,X",1,",,X",,,1,",,0",,,1,",,0",,,,,,,,,,,,
USW00014765,2/5/2005,41.72252,-71.43248,15.4,"PROVIDENCE, RI US",0,",,0,2400",0,",,0,",229,",,0,",100,",,0",-6,",,0",,,,,47,",,X",1324,",,X",,,919,",,W",,,50,",,W",,,,,20,",,X",20,",,X",,,610,",,0",,,89,",,X",116,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,2/6/2005,41.72252,-71.43248,15.4,"PROVIDENCE, RI US",0,",,0,2400",0,",,0,",178,",,0,",72,",,0",-17,",,0",,,,,50,",,X",1128,",,X",,,1127,",,W",,,28,",,W",,,,,10,",,X",10,",,X",,,533,",,0",,,94,",,X",103,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,2/7/2005,41.72252,-71.43248,15.4,"PROVIDENCE, RI US",0,",,0,2400",0,",,0,",127,",,0,",111,",,0",-22,",,0",,,,,16,",,X",12,",,X",,,700,",,W",,,44,",,W",,,,,350,",,X",350,",,X",,,203,",,0",,,40,",,X",45,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,2/8/2005,41.72252,-71.43248,15.4,"PROVIDENCE, RI US",0,",,0,2400",0,",,0,",76,",,0,",61,",,0",-39,",,0",,,,,18,",,X",1534,",,X",,,1536,",,W",,,11,",,W",,,,,160,",,X",160,",,X",,,0,",,0",,,63,",,X",67,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,2/9/2005,41.72252,-71.43248,15.4,"PROVIDENCE, RI US",5,",,0,2400",0,",,0,",51,",,0,",117,",,0",11,",,0",,,,,21,",,X",1619,",,X",,,2006,",,W",,,67,",,W",,,,,170,",,X",160,",,X",,,0,",,0",,,45,",,X",54,",,X",,,1,",,0",,,,,,,,,,,,,,,,,,,,,1,",,X",,,,,1,",,0",,,,,,,,,,,,,,,,
USW00014765,2/10/2005,41.72252,-71.43248,15.4,"PROVIDENCE, RI US",193,",,0,2400",15,",,0,",0,"T,,0,",50,",,0",-11,",,0",,,,,38,",,X",1557,",,X",,,2234,",,W",,,22,",,W",,,,,330,",,X",310,",,X",,,0,",,0",,,94,",,X",112,",,X",,,1,",,0",1,",,X",,,,,,,,,,,,,,,,,,,1,",,X",1,",,X",,,1,",,0",,,1,",,0",,,,,,,,,,,,
USW00014765,2/11/2005,41.72252,-71.43248,15.4,"PROVIDENCE, RI US",0,"T,,0,2400",0,"T,,0,",0,"T,,0,",22,",,0",-28,",,0",,,,,75,",,X",1442,",,X",,,1421,",,W",,,0,",,W",,,,,310,",,X",300,",,X",,,0,",,0",,,134,",,X",170,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,,,,,
USW00014765,2/12/2005,41.72252,-71.43248,15.4,"PROVIDENCE, RI US",0,",,0,2400",0,",,0,",0,",,0,",39,",,0",-33,",,0",,,,,42,",,X",1332,",,X",,,1333,",,W",,,6,",,W",,,,,270,",,X",280,",,X",,,0,",,0",,,80,",,X",98,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,2/13/2005,41.72252,-71.43248,15.4,"PROVIDENCE, RI US",0,",,0,2400",0,",,0,",0,",,0,",50,",,0",-33,",,0",,,,,39,",,X",923,",,X",,,1155,",,W",,,11,",,W",,,,,360,",,X",10,",,X",,,0,",,0",,,89,",,X",103,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,2/14/2005,41.72252,-71.43248,15.4,"PROVIDENCE, RI US",69,",,0,2400",3,",,0,",0,",,0,",44,",,0",-61,",,0",,,,,41,",,X",2104,",,X",,,2104,",,W",,,-6,",,W",,,,,140,",,X",150,",,X",,,0,",,0",,,80,",,X",107,",,X",,,1,",,0",,,,,,,,,,,,,,,,,,,,,1,",,X",,,,,1,",,0",,,1,",,0",,,,,,,,,,,,
USW00014765,2/15/2005,41.72252,-71.43248,15.4,"PROVIDENCE, RI US",201,",,0,2400",0,",,0,",0,",,0,",111,",,0",11,",,0",,,,,43,",,X",435,",,X",,,320,",,W",,,61,",,W",,,,,190,",,X",180,",,X",,,0,",,0",,,112,",,X",161,",,X",,,1,",,0",,,,,,,,,,,,,,,,,,,,,1,",,X",1,",,X",,,1,",,0",,,,,,,,,,,,,,,,
USW00014765,2/16/2005,41.72252,-71.43248,15.4,"PROVIDENCE, RI US",53,",,0,2400",0,",,0,",0,",,0,",122,",,0",-6,",,0",,,,,40,",,X",2048,",,X",,,1844,",,W",,,61,",,W",,,,,310,",,X",290,",,X",,,0,",,0",,,89,",,X",112,",,X",,,1,",,0",,,,,,,,,,,,,,,,,,,,,1,",,X",,,,,1,",,0",,,,,,,,,,,,,,,,
USW00014765,2/17/2005,41.72252,-71.43248,15.4,"PROVIDENCE, RI US",0,",,0,2400",0,",,0,",0,",,0,",39,",,0",-17,",,0",,,,,36,",,X",2059,",,X",,,2126,",,W",,,11,",,W",,,,,310,",,X",300,",,X",,,0,",,0",,,67,",,X",89,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,2/18/2005,41.72252,-71.43248,15.4,"PROVIDENCE, RI US",0,"T,,0,2400",0,"T,,0,",0,",,0,",11,",,0",-89,",,0",,,,,59,",,X",1947,",,X",,,1839,",,W",,,-39,",,W",,,,,310,",,X",310,",,X",,,0,",,0",,,103,",,X",130,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,,,,,
USW00014765,2/19/2005,41.72252,-71.43248,15.4,"PROVIDENCE, RI US",0,",,0,2400",0,",,0,",0,",,0,",-17,",,0",-106,",,0",,,,,41,",,X",1706,",,X",,,424,",,W",,,-61,",,W",,,,,300,",,X",330,",,X",,,0,",,0",,,67,",,X",89,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,2/20/2005,41.72252,-71.43248,15.4,"PROVIDENCE, RI US",0,"T,,0,2400",0,"T,,0,",0,",,0,",11,",,0",-78,",,0",,,,,31,",,X",1029,",,X",,,1119,",,W",,,-33,",,W",,,,,320,",,X",300,",,X",,,0,",,0",,,76,",,X",98,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,,,,,
USW00014765,2/21/2005,41.72252,-71.43248,15.4,"PROVIDENCE, RI US",53,",,0,2400",58,",,0,",25,",,0,",6,",,0",-39,",,0",,,,,49,",,X",2321,",,X",,,2349,",,W",,,-17,",,W",,,,,20,",,X",10,",,X",,,51,",,0",,,76,",,X",94,",,X",,,1,",,0",,,,,,,,,,,,,,,,,,,,,1,",,X",1,",,X",,,1,",,0",,,1,",,0",,,,,,,,,,,,
USW00014765,2/22/2005,41.72252,-71.43248,15.4,"PROVIDENCE, RI US",0,"T,,0,2400",0,"T,,0,",25,",,0,",6,",,0",-33,",,0",,,,,45,",,X",603,",,X",,,544,",,W",,,-11,",,W",,,,,10,",,X",10,",,X",,,0,",,0",,,94,",,X",116,",,X",,,1,",,0",,,,,,,,,1,",,0",,,,,,,,,,,1,",,X",,,1,",,X",1,",,0",,,1,",,0",,,,,,,,,,,,
USW00014765,2/23/2005,41.72252,-71.43248,15.4,"PROVIDENCE, RI US",3,",,0,2400",5,",,0,",25,",,0,",28,",,0",-44,",,0",,,,,38,",,X",1332,",,X",,,1318,",,W",,,-6,",,W",,,,,300,",,X",290,",,X",,,0,",,0",,,80,",,X",103,",,X",,,1,",,0",,,,,,,,,,,,,,,,,,,,,1,",,X",,,,,,,,,1,",,0",,,,,,,,,,,,
USW00014765,2/24/2005,41.72252,-71.43248,15.4,"PROVIDENCE, RI US",30,",,0,2400",61,",,0,",0,"T,,0,",-17,",,0",-78,",,0",,,,,45,",,X",647,",,X",,,806,",,W",,,-44,",,W",,,,,10,",,X",10,",,X",,,0,",,0",,,76,",,X",94,",,X",,,1,",,0",,,,,,,,,,,,,,,,,,,,,1,",,X",,,,,,,,,1,",,0",,,,,,,,,,,,
USW00014765,2/25/2005,41.72252,-71.43248,15.4,"PROVIDENCE, RI US",41,",,0,2400",86,",,0,",152,",,0,",-11,",,0",-72,",,0",,,,,46,",,X",830,",,X",,,825,",,W",,,-39,",,W",,,,,360,",,X",360,",,X",,,51,",,0",,,94,",,X",116,",,X",,,1,",,0",,,,,,,,,,,,,,,,,,,,,1,",,X",,,,,,,,,1,",,0",,,,,,,,,,,,
USW00014765,2/26/2005,41.72252,-71.43248,15.4,"PROVIDENCE, RI US",0,",,0,2400",0,",,0,",51,",,0,",17,",,0",-106,",,0",,,,,29,",,X",1503,",,X",,,1503,",,W",,,-44,",,W",,,,,250,",,X",250,",,X",,,0,",,0",,,80,",,X",94,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,2/27/2005,41.72252,-71.43248,15.4,"PROVIDENCE, RI US",0,",,0,2400",0,",,0,",0,"T,,0,",17,",,0",-67,",,0",,,,,41,",,X",1225,",,X",,,1224,",,W",,,-22,",,W",,,,,290,",,X",280,",,X",,,0,",,0",,,89,",,X",107,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
